Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 1.703627	Val Loss: 1.223387	Val Acc: 57
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 0.988104	Val Loss: 1.139919	Val Acc: 61
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 0.937554	Val Loss: 1.103910	Val Acc: 63
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.258885	Val Loss: 1.253087	Val Acc: 58
Train Epoch: 3 [640/49000 (1%)]	Train Loss: 1.116399	Val Loss: 1.262729	Val Acc: 54
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 1.213803	Val Loss: 1.237564	Val Acc: 55
Train Epoch: 3 [1920/49000 (4%)]	Train Loss: 1.088306	Val Loss: 1.145392	Val Acc: 63
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 1.106724	Val Loss: 1.172767	Val Acc: 58
Train Epoch: 3 [3200/49000 (7%)]	Train Loss: 1.038097	Val Loss: 1.199357	Val Acc: 59
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 0.994969	Val Loss: 1.200226	Val Acc: 59
Train Epoch: 3 [4480/49000 (9%)]	Train Loss: 1.150497	Val Loss: 1.256625	Val Acc: 56
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.052169	Val Loss: 1.291410	Val Acc: 56
Train Epoch: 3 [5760/49000 (12%)]	Train Loss: 1.101894	Val Loss: 1.191600	Val Acc: 61
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 1.251029	Val Loss: 1.170870	Val Acc: 58
Train Epoch: 3 [7040/49000 (14%)]	Train Loss: 1.043743	Val Loss: 1.173923	Val Acc: 59
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 1.155067	Val Loss: 1.143712	Val Acc: 61
Train Epoch: 3 [8320/49000 (17%)]	Train Loss: 0.687980	Val Loss: 1.290111	Val Acc: 55
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 1.021644	Val Loss: 1.127911	Val Acc: 58
Train Epoch: 3 [9600/49000 (20%)]	Train Loss: 0.914743	Val Loss: 1.230944	Val Acc: 57
